Depth,0U1,1U1,2U1,3U1,4U1,5U1,6U1,7U1,8U1,9U1,10U1,11U1,12U1,13U1,14U1,15U1,16U1,17U1,18U1,19U1,20U1,21U1,22U1,23U1,24U1,25U1,26U1,27U1,28U1,29U1,30U1,31U1,32U1,33U1,34U1,35U1,36U1,37U1,38U1,39U1,40U1,41U1,42U1,43U1,44U1,45U1,46U1,47U1,48U1,49U1,50U1,51U1,52U1,53U1,54U1,55U1,56U1,57U1,58U1,59U1,60U1,61U1,62U1,63U1,64U1,65U1,66U1,67U1,68U1,69U1,70U1,71U1,72U1,73U1,74U1,75U1,76U1,77U1,78U1,79U1,80U1,81U1,82U1,83U1,84U1
0.2,2.48E-16,0.000449554,0.000688458,0.000972764,0.00136174,0.001723543,0.002104987,0.002509112,0.00301442,0.003505409,0.004103276,0.004691762,0.00538349,0.006205725,0.007191856,0.008453356,0.009929101,0.011671219,0.013520206,0.015562067,0.017568248,0.019588544,0.021565551,0.023514092,0.025435193,0.027272379,0.029075382,0.030765636,0.032454303,0.034022695,0.035481543,0.036935348,0.038264361,0.039572788,0.040798041,0.041963315,0.043066811,0.044120576,0.045128676,0.046010401,0.046874099,0.047691029,0.048450367,0.049192033,0.049873562,0.050512574,0.051135222,0.051691406,0.052256787,0.052675121,0.053154779,0.053566197,0.053969295,0.054364634,0.054702487,0.055039702,0.055358807,0.055666565,0.055877973,0.056122563,0.056343944,0.056550536,0.056756843,0.056927599,0.057095323,0.057265084,0.057410582,0.057537423,0.057633369,0.057740931,0.057825288,0.057874524,0.057904456,0.057949802,0.057967471,0.057969882,0.057993213,0.057973729,0.057992844,0.057988755,0.057981929,0.057985355,0.058004291,0.057979587,0.057986782
0.4,2.48E-16,0.000397251,0.00060957,0.000878372,0.001213119,0.001563233,0.001881622,0.002281016,0.002691477,0.00315995,0.003659499,0.004187375,0.004779885,0.005382864,0.006103119,0.006833742,0.007790741,0.008873218,0.010169138,0.011628513,0.013158399,0.014761286,0.016351765,0.017968213,0.01953312,0.021084719,0.022580007,0.024022022,0.025443697,0.026795004,0.028042215,0.029300039,0.030454584,0.03159578,0.032675169,0.033691797,0.034675618,0.035602926,0.036505728,0.037288489,0.038064482,0.038796345,0.039478245,0.040152067,0.040765087,0.041348878,0.041914803,0.042425912,0.042940777,0.043328955,0.043770386,0.044148985,0.044523173,0.0448888,0.045204064,0.045520758,0.045818067,0.046105618,0.046307969,0.046534729,0.04674215,0.046936764,0.047132552,0.047294019,0.047454533,0.047614199,0.047753457,0.047874028,0.047965373,0.048069082,0.048148691,0.048197327,0.04822729,0.048268035,0.048285371,0.048290023,0.048311492,0.048295145,0.048311328,0.048307328,0.048303452,0.048304531,0.048320304,0.048300709,0.048306902
0.6,2.48E-16,0.000341621,0.000534732,0.000775953,0.001096063,0.00139585,0.001707468,0.002041272,0.002435653,0.002826658,0.003289093,0.003752788,0.004261034,0.00480792,0.005380424,0.005990881,0.00664083,0.00738922,0.008218692,0.009224904,0.010295467,0.01149334,0.012723873,0.01399037,0.01526173,0.016495852,0.01773897,0.018909354,0.020105234,0.021229143,0.022285351,0.023360319,0.024344002,0.025339503,0.026267359,0.027158589,0.028015563,0.028834579,0.029628124,0.030323413,0.031010169,0.031660817,0.032269515,0.032874059,0.033422822,0.033948294,0.034461562,0.03492361,0.035391185,0.035746265,0.036149361,0.036493628,0.036837949,0.03717426,0.037463955,0.037760201,0.038033741,0.038300944,0.038491603,0.038701172,0.038894371,0.039075886,0.039260397,0.039411437,0.039563781,0.039713022,0.039845846,0.039958828,0.040046146,0.040144964,0.040219394,0.040267602,0.040296573,0.040333356,0.040350648,0.040357429,0.04037688,0.040362693,0.04037648,0.04037248,0.040371425,0.040372713,0.040384056,0.040369102,0.040374325
0.8,2.48E-16,0.000289795,0.000461419,0.000686169,0.000975882,0.001262516,0.001540426,0.0018585,0.002198832,0.002566971,0.002973165,0.003392991,0.003853534,0.004324811,0.004848539,0.005364576,0.005936403,0.006524097,0.007169792,0.007897652,0.008681026,0.009580376,0.010525546,0.011530962,0.01254366,0.013547693,0.014549087,0.015506747,0.016477216,0.017396469,0.018261086,0.019143409,0.019956751,0.02079156,0.021574561,0.022327043,0.023068321,0.023771102,0.024466214,0.025071055,0.025674291,0.026243934,0.026780726,0.027320277,0.027803589,0.028274891,0.028733652,0.029149733,0.029569405,0.029892259,0.030256543,0.030566611,0.030881904,0.031187867,0.03145273,0.031727043,0.031977762,0.032223533,0.032401886,0.032594712,0.032773651,0.032941961,0.033114583,0.033255577,0.033399082,0.033538191,0.033663838,0.033769116,0.033852389,0.033946564,0.034015568,0.034063069,0.034091127,0.034124301,0.034141958,0.034150186,0.034167916,0.034155714,0.034167558,0.034163687,0.034164471,0.034165986,0.034174701,0.034163499,0.034167114
1,2.48E-16,0.000241569,0.000394393,0.000600167,0.000868933,0.001134822,0.001403075,0.001693536,0.00200882,0.002343021,0.002721987,0.003109989,0.003535115,0.003972452,0.00445241,0.004928063,0.005447458,0.005984796,0.006557293,0.007182216,0.007840923,0.008601617,0.009415724,0.010295871,0.011196253,0.012090099,0.012979078,0.013825482,0.014677147,0.015483838,0.016246104,0.0170048,0.017711656,0.018422692,0.019090901,0.019726956,0.020348921,0.020936995,0.021522188,0.022031231,0.022543264,0.02302889,0.023491769,0.023964973,0.024383502,0.024800177,0.025207482,0.025577427,0.025950774,0.026240655,0.026566402,0.02684233,0.027128398,0.027404256,0.027644059,0.027896639,0.028124354,0.028348601,0.028514038,0.028690158,0.028854793,0.029009618,0.029169976,0.029300624,0.029434869,0.029563517,0.029681888,0.029778887,0.029858081,0.029947375,0.030011162,0.030057297,0.030084014,0.030113991,0.030131966,0.030140498,0.030156769,0.03014652,0.030155932,0.030152715,0.03015522,0.030155951,0.030163347,0.03015442,0.030157037
1.2,2.48E-16,0.000198588,0.000333797,0.000520277,0.000769518,0.001016358,0.001281065,0.00155454,0.001849961,0.002156246,0.002515941,0.002888906,0.003285736,0.00371036,0.004152292,0.004615716,0.00508709,0.005600019,0.00611814,0.006692904,0.007276579,0.007942557,0.008665583,0.009442358,0.010268547,0.011072311,0.011899218,0.012672227,0.013461099,0.014203721,0.014912165,0.015610773,0.016261159,0.016911781,0.017517225,0.018101853,0.018651597,0.019181083,0.019688669,0.020131584,0.020572427,0.020983592,0.021379693,0.021780786,0.02213438,0.022490824,0.022840688,0.023159553,0.023484797,0.023739411,0.024026462,0.024268905,0.024526027,0.024774106,0.024988035,0.025220106,0.025424085,0.025627478,0.025779214,0.025938914,0.02608945,0.026230622,0.026378765,0.02649875,0.026623565,0.026741486,0.026852943,0.026941601,0.027016358,0.027100572,0.027159315,0.027203587,0.027228794,0.027255972,0.027273758,0.02728238,0.027297572,0.027288937,0.027295694,0.027293537,0.027297122,0.027297751,0.027303358,0.027296772,0.027298394
1.4,2.48E-16,0.000161483,0.000278173,0.000448913,0.000673058,0.000911302,0.001159045,0.00143815,0.001710233,0.002005018,0.002339955,0.002702378,0.003095538,0.00348065,0.003930668,0.004344503,0.004823955,0.005282178,0.005793803,0.006316605,0.00685815,0.00746761,0.008111713,0.008841098,0.00958175,0.010357025,0.01110965,0.0118524,0.012575625,0.013278475,0.013947475,0.0146074,0.0152243,0.015824925,0.0164016,0.01693535,0.017459075,0.017944575,0.018424325,0.018833675,0.019244675,0.019625575,0.01998225,0.020342525,0.0206485,0.020966175,0.0212567,0.0215321,0.021799575,0.022017775,0.02226025,0.022465275,0.022690075,0.022904525,0.02309335,0.023300875,0.023482675,0.023663675,0.023802725,0.0239467,0.024083625,0.0242119,0.02434695,0.024457075,0.02457145,0.0246794,0.024783075,0.0248643,0.0249341,0.025013225,0.0250671,0.025108925,0.025133075,0.02515755,0.025174825,0.025183625,0.02519775,0.0251904,0.025195325,0.025193675,0.0251974,0.02519855,0.025202425,0.0251982,0.02519875
1.6,2.48E-16,0.000128824,0.000230903,0.000379269,0.000589226,0.000803798,0.001055971,0.001309422,0.001594843,0.001867875,0.002191915,0.002545115,0.002915007,0.003321116,0.003712362,0.004161391,0.004575238,0.005058209,0.00551387,0.006031442,0.006534352,0.007094621,0.00770979,0.008351594,0.009073844,0.009760434,0.010506794,0.011186081,0.011890424,0.012542253,0.013177725,0.013796169,0.014367012,0.014946684,0.015472785,0.015998542,0.0164772,0.016948728,0.017384744,0.017772601,0.018149016,0.018501873,0.018839574,0.019167703,0.019464017,0.019754717,0.020027846,0.020282132,0.020519718,0.020715104,0.020924776,0.021102876,0.021293691,0.021472834,0.021629606,0.021808178,0.02195865,0.02211495,0.022234908,0.022361937,0.022483065,0.022596651,0.02271938,0.022818052,0.022924023,0.02302058,0.023118509,0.023191609,0.023257295,0.023330752,0.023379867,0.023419524,0.023442581,0.023464495,0.023480752,0.023490238,0.023502767,0.023497038,0.023500438,0.023498667,0.023502881,0.023503924,0.023506995,0.023504152,0.023504195
1.8,2.48E-16,0.00010216,0.000186865,0.000320799,0.000502773,0.000712187,0.00093984,0.00120583,0.001461438,0.0017525,0.002061137,0.002399263,0.002781757,0.003146148,0.003580774,0.00395408,0.004419094,0.004829729,0.005318615,0.005787189,0.006276706,0.006819365,0.007375625,0.008022875,0.008660083,0.009375286,0.010043372,0.010738093,0.011386557,0.0120317,0.012644182,0.01324105,0.013808114,0.014346396,0.01487365,0.015347717,0.015826931,0.016258803,0.016690992,0.01705451,0.017418481,0.017756188,0.018067202,0.018385306,0.018651905,0.018932159,0.019182094,0.019431109,0.019646726,0.019840301,0.020036948,0.020206551,0.020384658,0.020539783,0.020684369,0.020835447,0.020965054,0.021092408,0.021193986,0.021297668,0.021397478,0.021492396,0.02159566,0.021681189,0.021772882,0.021857853,0.021945896,0.022011338,0.022071042,0.022138535,0.022182696,0.022219588,0.022242199,0.02226052,0.02227662,0.022286317,0.022297942,0.022293406,0.022295545,0.022293456,0.022298528,0.022299238,0.022301467,0.022300117,0.022299249
2,2.48E-16,7.92E-05,0.000151841,0.000263536,0.000431005,0.000614402,0.000843916,0.001081281,0.00135187,0.001619428,0.001939838,0.002279854,0.002630587,0.003031762,0.003406194,0.003836931,0.004222484,0.004685403,0.005116558,0.005601053,0.006066321,0.006576061,0.007139979,0.007711928,0.008371338,0.008996264,0.009697244,0.010327154,0.010990798,0.011598276,0.012190448,0.012768755,0.013299612,0.013840298,0.014323062,0.014810206,0.015247077,0.015682263,0.016073927,0.016429963,0.016767528,0.017085499,0.017392378,0.017683142,0.0179503,0.018204136,0.018451665,0.018676543,0.01887835,0.019056829,0.019238958,0.019398872,0.01956338,0.019712737,0.019847423,0.019995887,0.020113509,0.020236194,0.020327294,0.020420652,0.020507159,0.020588852,0.020675609,0.02074548,0.020823702,0.020890688,0.020966202,0.021017688,0.02106816,0.021125831,0.021161753,0.021194203,0.021213274,0.021229139,0.021242696,0.021253032,0.021262825,0.02125956,0.021260153,0.021258432,0.021264003,0.021264103,0.021265725,0.02126531,0.021264082
2.2,2.48E-16,6.11E-05,0.000119906,0.000216777,0.000359167,0.000530967,0.000737161,0.000976604,0.001223588,0.001501321,0.001808165,0.00215314,0.002518168,0.002881342,0.003298358,0.003668866,0.004101814,0.004505493,0.004970873,0.005416786,0.005879322,0.00638701,0.006905418,0.007495436,0.00809185,0.008752098,0.009388885,0.010047025,0.010671109,0.011283245,0.011866388,0.012429456,0.012969463,0.013478738,0.013973341,0.014421895,0.01486842,0.015274434,0.015671052,0.016008123,0.016339641,0.016648012,0.016934044,0.017222855,0.017465134,0.017718619,0.017946469,0.018170008,0.018355737,0.018533362,0.018703144,0.018851951,0.019007412,0.019144244,0.019272772,0.019410158,0.019523333,0.019638315,0.019728076,0.019817347,0.019900472,0.019981322,0.020060486,0.020128276,0.020197479,0.020257083,0.020322133,0.020365026,0.020407058,0.02045579,0.020483511,0.020509718,0.020525354,0.020538011,0.020549265,0.020558765,0.020566754,0.020564133,0.020563136,0.020562543,0.020567779,0.020567772,0.0205683,0.020569054,0.02056749
2.4,2.48E-16,4.60E-05,9.45E-05,0.000173615,0.000298133,0.000447858,0.000643048,0.000861192,0.001107825,0.001371251,0.001679658,0.002024312,0.002387304,0.00276962,0.003152589,0.003557411,0.003948391,0.004382198,0.004812302,0.005269573,0.00571959,0.006209274,0.006735423,0.007282348,0.007893523,0.008502031,0.00916643,0.0097863,0.010428016,0.011021587,0.01160053,0.01216103,0.012682158,0.013198916,0.013669387,0.014129302,0.01455223,0.014960145,0.015337673,0.015670816,0.015987987,0.016288073,0.016570145,0.016841802,0.017084745,0.017319802,0.017544731,0.017753374,0.017931674,0.018100702,0.018262517,0.01840536,0.01855326,0.018686345,0.01880506,0.018938803,0.019042545,0.019150188,0.01923336,0.019316588,0.019394431,0.019470374,0.019544646,0.019610117,0.019676189,0.019731931,0.019794432,0.019834389,0.019874846,0.019919417,0.019944074,0.019968274,0.019981946,0.019993489,0.020002632,0.020011903,0.020017717,0.020016032,0.020014017,0.020013946,0.020019374,0.020018903,0.020018789,0.020020103,0.02001856
2.6,2.48E-16,3.40E-05,7.26E-05,0.000137805,0.000241914,0.000374541,0.00054896,0.000755324,0.000985153,0.001246235,0.001545301,0.001887164,0.002256456,0.0026381,0.003037562,0.003416751,0.003833339,0.004246008,0.004688522,0.005126469,0.005577904,0.006066861,0.006568891,0.00712108,0.007702596,0.008318906,0.008959649,0.009599251,0.010226143,0.010826675,0.011407214,0.011963282,0.012493903,0.012999103,0.013477153,0.013922164,0.014351689,0.01474655,0.015125793,0.015449196,0.01576236,0.016055803,0.016327346,0.0165958,0.016825853,0.017060175,0.017272435,0.017479257,0.017646617,0.017812064,0.017965153,0.018101782,0.018243392,0.018369564,0.01848391,0.018610657,0.018711878,0.018812289,0.018892385,0.018970321,0.019044235,0.019114964,0.019182142,0.019244814,0.01930441,0.019356271,0.019414603,0.019452592,0.019491642,0.019533307,0.019557635,0.019581257,0.019594767,0.019605089,0.019613617,0.019622435,0.019626867,0.019625899,0.019623442,0.019623285,0.019628982,0.019628503,0.019627446,0.019629742,0.019627803
2.8,2.48E-16,2.45E-05,5.52E-05,0.000106927,0.00019387,0.000307046,0.000463564,0.000650293,0.000868361,0.00111736,0.001409935,0.00174619,0.002110855,0.00249894,0.002901695,0.00329557,0.003698465,0.00412668,0.004568105,0.005005105,0.005449975,0.005933585,0.00643577,0.006972795,0.00754577,0.00814965,0.008794015,0.009429425,0.010068315,0.0106708,0.011256,0.0118168,0.0123489,0.01286075,0.0133372,0.01378595,0.01421385,0.01460725,0.014982,0.01530345,0.01561105,0.0159005,0.0161688,0.0164301,0.01665775,0.0168854,0.01709235,0.0172934,0.01745495,0.0176157,0.0177634,0.0178959,0.01803225,0.0181543,0.0182635,0.0183855,0.018482,0.0185775,0.0186542,0.0187281,0.0187991,0.0188662,0.0189291,0.01898925,0.0190452,0.01909375,0.01914995,0.01918495,0.01922235,0.01926095,0.01928415,0.0193068,0.0193192,0.01932855,0.01933645,0.0193451,0.01934815,0.0193482,0.01934515,0.01934485,0.01935085,0.0193505,0.0193487,0.01935175,0.0193495
3,2.48E-16,1.71E-05,4.09E-05,8.17E-05,0.000152065,0.000248117,0.00038433,0.000552805,0.000753402,0.000990949,0.001272237,0.001600213,0.001959431,0.002345603,0.002749022,0.003159102,0.003570051,0.003995228,0.00444569,0.004895094,0.005344201,0.005819167,0.006316188,0.006845493,0.007418567,0.008002457,0.008655301,0.009292032,0.009941251,0.010554389,0.011149654,0.011719375,0.012259632,0.012783293,0.013262575,0.013720468,0.014148564,0.014548275,0.014920597,0.015243007,0.015552146,0.015836329,0.016105089,0.016361179,0.016587821,0.016811047,0.017014325,0.017211607,0.017368804,0.017526436,0.017668564,0.017797725,0.017929482,0.018048018,0.018153347,0.018271389,0.018364322,0.018456064,0.018529914,0.0185999,0.018667804,0.018731032,0.018790504,0.01884795,0.01890165,0.018947739,0.019002839,0.019035457,0.019071875,0.019108564,0.019130697,0.019152497,0.019163907,0.019172347,0.019179679,0.019188464,0.019190254,0.019191382,0.019187497,0.019187418,0.0191936,0.019193197,0.019190836,0.019194579,0.019191957
3.2,2.48E-16,1.12E-05,2.97E-05,6.05E-05,0.000117492,0.000196173,0.000313862,0.000461286,0.000644334,0.000866504,0.001135108,0.001451549,0.001803302,0.002180053,0.002586906,0.00299357,0.003428272,0.003855235,0.004310161,0.004768516,0.005241215,0.005731928,0.006208396,0.006739324,0.007286186,0.007892095,0.008515247,0.009177706,0.009827499,0.010457156,0.011068514,0.011647657,0.012211728,0.012736314,0.0132414,0.013694671,0.0141429,0.0145393,0.014922743,0.015246443,0.015555457,0.015843886,0.016107229,0.016368229,0.016588672,0.016816043,0.017011643,0.017210329,0.017361743,0.017518314,0.017656171,0.017783129,0.017912814,0.018027686,0.018131257,0.018244457,0.018335543,0.018423014,0.018495214,0.018561914,0.018627628,0.018688628,0.018745271,0.0188013,0.018852428,0.018896757,0.018949286,0.018979971,0.019014914,0.019049728,0.019071,0.019091657,0.019102628,0.0191096,0.019117,0.0191256,0.019126371,0.019128328,0.019123771,0.0191242,0.019130285,0.019129828,0.019126857,0.019131471,0.019128343
3.4,2.48E-16,6.96E-06,2.08E-05,4.42E-05,8.78E-05,0.000153048,0.000250986,0.00037997,0.000542199,0.000747061,0.001000123,0.001302809,0.001640939,0.002013292,0.00240403,0.002822461,0.003248563,0.003704208,0.004156615,0.004625351,0.005119641,0.005625915,0.00613835,0.006633012,0.007189801,0.007758596,0.008417312,0.009052592,0.009734485,0.010369172,0.01099535,0.011604557,0.012172972,0.012735064,0.013236454,0.013726143,0.014165246,0.014590403,0.01496891,0.015304989,0.015622453,0.015907117,0.016183521,0.016435778,0.016667742,0.016885367,0.017088407,0.017280853,0.017434,0.017588653,0.017722753,0.017849417,0.0179747,0.018090007,0.018188996,0.018302167,0.018388803,0.018475653,0.018545142,0.018609528,0.018673332,0.018731175,0.018787039,0.018839871,0.018891285,0.0189323,0.018984293,0.019012968,0.019047039,0.019080435,0.01910055,0.019120832,0.019130682,0.019137164,0.019144025,0.019152918,0.019152285,0.019155207,0.019150178,0.01915086,0.019157107,0.019156214,0.019153014,0.019158078,0.01915486
3.6,2.48E-16,3.46E-06,1.41E-05,3.01E-05,6.52E-05,0.000114999,0.000198204,0.000304986,0.000449062,0.000632996,0.000868749,0.001155474,0.001479918,0.001835212,0.002224864,0.002624074,0.003066912,0.003510051,0.003992838,0.004462608,0.004964021,0.005515596,0.006025405,0.006578409,0.007083328,0.007682981,0.008283319,0.008968111,0.009626606,0.010291585,0.010941535,0.011556764,0.012177136,0.012734536,0.013288758,0.013768115,0.014249494,0.014669108,0.015074816,0.015413345,0.015736002,0.016036845,0.016304038,0.016575909,0.01679618,0.017030367,0.017221859,0.017424616,0.017572688,0.017728459,0.017862524,0.017986716,0.018115009,0.018225881,0.018326752,0.018435059,0.018522795,0.018605345,0.018675545,0.018737602,0.018799616,0.018857095,0.01890993,0.018962959,0.019011409,0.01905208,0.019101302,0.019129416,0.019162116,0.019194202,0.019214102,0.019233287,0.01924363,0.019248459,0.019255902,0.019264252,0.019263073,0.019266545,0.01926098,0.019262052,0.019268073,0.019267259,0.019263595,0.019269252,0.01926568
3.8,2.48E-16,1.27E-06,8.66E-06,2.07E-05,4.48E-05,8.65E-05,0.000151373,0.00024381,0.000364627,0.000529474,0.000743985,0.001011737,0.001319931,0.001661996,0.002030532,0.0024323,0.002853804,0.003312415,0.003784855,0.004280961,0.004797295,0.005349262,0.00592636,0.006458873,0.007037922,0.007582235,0.008216522,0.00885171,0.009558155,0.010212283,0.010881875,0.011545068,0.012157046,0.01278275,0.013328442,0.013869432,0.014340542,0.014805767,0.015207881,0.015572492,0.015909692,0.016208995,0.016502463,0.016761684,0.017007548,0.01722703,0.01743802,0.017632602,0.017788009,0.017944255,0.018074934,0.018203966,0.018326409,0.018442755,0.018538005,0.018650091,0.018732866,0.018817105,0.018884702,0.018945648,0.019007212,0.019061845,0.019115127,0.019164784,0.019215266,0.019252505,0.019302309,0.019328427,0.019360687,0.019391545,0.019410466,0.019429512,0.019438855,0.019443895,0.019450327,0.019459398,0.019456998,0.019461405,0.019455395,0.019456512,0.019462795,0.019461198,0.019457991,0.019463509,0.019460098
